Movie Name,Year of release,Watchtime,Movie Rating,Votes,Gross collection,Director,Cast
Vertigo,1958,128,8.3,410780,3.2,Alfred Hitchcock,"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore']"
To Kill a Mockingbird,1962,129,8.3,322132,102.79658653846153,Robert Mulligan,"['Gregory Peck', 'John Megna', 'Frank Overton', 'Rosemary Murphy']"
Citizen Kane,1941,119,8.3,450542,1.59,Orson Welles,"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Agnes Moorehead']"
North by Northwest,1959,136,8.3,334478,13.28,Alfred Hitchcock,"['Cary Grant', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis']"
Metropolis,1927,153,8.3,178227,1.24,Fritz Lang,"['Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich', 'Rudolf Klein-Rogge']"
The Sting,1973,129,8.3,269511,159.6,George Roy Hill,"['Paul Newman', 'Robert Redford', 'Robert Shaw', 'Charles Durning']"
Singin' in the Rain,1952,103,8.3,248875,8.82,"Directors:Stanley Donen, Gene Kelly","['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds', 'Jean Hagen']"
The Apartment,1960,125,8.3,186545,18.6,Billy Wilder,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']"
Jodaeiye Nader az Simin,2011,123,8.3,249437,7.1,Asghar Farhadi,"['Payman Maadi', 'Leila Hatami', 'Sareh Bayat', 'Shahab Hosseini']"
M - Eine Stadt sucht einen Mörder,1931,117,8.3,161646,0.03,Fritz Lang,"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut', 'Otto Wernicke']"
Kantara,2022,148,8.3,95359,102.79658653846153,Rishab Shetty,"['Rishab Shetty', 'Kishore Kumar G.', 'Achyuth Kumar', 'Sapthami Gowda']"
Ikiru,1952,143,8.3,81778,0.06,Akira Kurosawa,"['Takashi Shimura', 'Nobuo Kaneko', ""Shin'ichi Himori"", 'Haruo Tanaka']"
Judgment at Nuremberg,1961,179,8.3,79924,102.79658653846153,Stanley Kramer,"['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark', 'Marlene Dietrich']"
Dangal,2016,161,8.3,197234,12.39,Nitesh Tiwari,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']"
Double Indemnity,1944,107,8.3,160799,5.72,Billy Wilder,"['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson', 'Byron Barr']"
Taare Zameen Par,2007,165,8.3,197938,1.22,"Directors:Aamir Khan, Amole Gupte","['Darsheel Safary', 'Aamir Khan', 'Tanay Chheda', 'Sachet Engineer']"
Ladri di biciclette,1948,89,8.3,167514,0.33,Vittorio De Sica,"['Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell', 'Elena Altieri']"
K.G.F: Chapter 2,2022,168,8.3,139555,6.6,Prashanth Neel,"['Yash', 'Sanjay Dutt', 'Raveena Tandon', 'Srinidhi Shetty']"
Vikram,2022,175,8.3,63782,102.79658653846153,Lokesh Kanagaraj,"['Kamal Haasan', 'Vijay Sethupathi', 'Fahadh Faasil', 'Narain']"
Ratsasan,2018,170,8.3,46914,102.79658653846153,Ram Kumar,"['Vishnu Vishal', 'Amala Paul', 'Radha Ravi', 'Sangili Murugan']"
The Kid,1921,68,8.3,129266,5.45,Charles Chaplin,"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan', 'Carl Miller']"
Ayla: The Daughter of War,2017,125,8.3,41538,102.79658653846153,Can Ulkay,"['Çetin Tekindor', 'Ismail Hacioglu', 'Kyung-jin Lee', 'Kim Seol']"
Shershaah,2021,135,8.3,124736,102.79658653846153,Vishnuvardhan,"['Sidharth Malhotra', 'Kiara Advani', 'Shiv Panditt', 'Pranay Pachauri']"
Chhichhore,2019,143,8.3,57752,0.9,Nitesh Tiwari,"['Sushant Singh Rajput', 'Shraddha Kapoor', 'Varun Sharma', 'Prateik Babbar']"
Drishyam,2013,160,8.3,42614,102.79658653846153,Jeethu Joseph,"['Mohanlal', 'Meena', 'Asha Sharath', 'Ansiba']"
Guardians of the Galaxy Vol. 3,2023,150,8.2,144022,102.79658653846153,James Gunn,"['Chris Pratt', 'Chukwudi Iwuji', 'Bradley Cooper', 'Pom Klementieff']"
The Wolf of Wall Street,2013,180,8.2,1462246,116.9,Martin Scorsese,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey']"
Spider-Man: No Way Home,2021,148,8.2,796251,804.75,Jon Watts,"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon']"
Jurassic Park,1993,127,8.2,1013472,402.45,Steven Spielberg,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough']"
Taxi Driver,1976,114,8.2,863584,28.26,Martin Scorsese,"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd', 'Albert Brooks']"
Shutter Island,2010,138,8.2,1360303,128.01,Martin Scorsese,"['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo', 'Ben Kingsley']"
No Country for Old Men,2007,122,8.2,1001229,74.28,"Directors:Ethan Coen, Joel Coen","['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin', 'Woody Harrelson']"
Indiana Jones and the Last Crusade,1989,127,8.2,770837,197.17,Steven Spielberg,"['Harrison Ford', 'Sean Connery', 'Alison Doody', 'Denholm Elliott']"
ذا فاذر,2020,97,8.2,168536,102.79658653846153,Florian Zeller,"['Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss', 'Olivia Williams']"
1917,2019,119,8.2,620547,159.23,Sam Mendes,"['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays', 'Colin Firth']"
There Will Be Blood,2007,158,8.2,602179,40.22,Paul Thomas Anderson,"['Daniel Day-Lewis', 'Paul Dano', 'Ciarán Hinds', 'Martin Stringer']"
Green Book,2018,130,8.2,518811,85.08,Peter Farrelly,"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco']"
Hauru no ugoku shiro,2004,119,8.2,411628,4.71,Hayao Miyazaki,"['Chieko Baishô', 'Takuya Kimura', 'Tatsuya Gashûin', 'Akihiro Miwa']"
Snatch,2000,104,8.2,873798,30.33,Guy Ritchie,"['Jason Statham', 'Brad Pitt', 'Stephen Graham', 'Vinnie Jones']"
